Détail des appels;;;;;;;
;;;;;;;
Compte facturé;N° Facture;N° abonné	;Date ;Heure;Durée/volume réel;Durée/volume facturé;Type
20099899;55378311;23028498;29/02/2012;18:44:26;12.0;12.0;connexion 3G
20099899;55378311;23028498;29/02/2012;18:32:38;3.0;3.0;connexion 3G
20099899;55378311;23028498;29/02/2012;18:21:50;00:01:41;00:01:41;appel vers SFR
20099899;55378311;23028498;29/02/2012;16:02:24;77.0;77.0;connexion 3G
20099899;55378311;23028498;29/02/2012;08:57:48;80.0;80.0;connexion 3G
20099899;55378311;23028498;28/02/2012;18:58:18;3.0;3.0;connexion 3G
20099899;55378311;23028498;28/02/2012;13:34:14;470.0;470.0;connexion 3G
20099899;55378311;23028498;28/02/2012;13:14:28;4.0;4.0;connexion 3G
20099899;55378311;23028498;28/02/2012;12:23:00;9.0;9.0;connexion 3G
20099899;55378311;23028498;28/02/2012;12:21:02;1.0;1.0;connexion 3G
20099899;55378311;23028498;28/02/2012;12:07:47;1.0;1.0;connexion 3G
20099899;55378311;23028498;28/02/2012;09:35:24;49.0;49.0;connexion 3G
20099899;55378311;23028498;28/02/2012;08:46:47;33.0;33.0;connexion 3G
20099899;55378311;23028498;27/02/2012;18:59:17;9.0;9.0;connexion 3G
20099899;55378311;23028498;27/02/2012;18:57:09;1.0;1.0;connexion 3G
20099899;55378311;23028498;27/02/2012;14:32:23;21.0;21.0;connexion 3G
20099899;55378311;23028498;27/02/2012;08:32:23;1130.0;1130.0;connexion 3G
20099899;55378311;23028498;24/02/2012;18:41:20;1.0;1.0;connexion 3G
20099899;55378311;23028498;24/02/2012;18:39:12;1.0;1.0;connexion 3G
20099899;55378311;23028498;24/02/2012;18:35:14;;;envoi de sms depuis le mobile
20099899;55378311;23028498;24/02/2012;18:34:25;;;envoi de sms depuis le mobile
20099899;55378311;23028498;24/02/2012;18:33:56;;;envoi de sms depuis le mobile
20099899;55378311;23028498;24/02/2012;18:33:51;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;24/02/2012;18:16:14;16.0;16.0;connexion 3G
20099899;55378311;23028498;24/02/2012;14:55:55;00:00:25;00:00:25;rappel de votre correspondant
20099899;55378311;23028498;24/02/2012;14:22:47;00:03:39;00:03:39;appel vers SFR
20099899;55378311;23028498;24/02/2012;14:15:27;185.0;185.0;connexion 3G
20099899;55378311;23028498;24/02/2012;08:15:27;49.0;49.0;connexion 3G
20099899;55378311;23028498;24/02/2012;02:15:27;9.0;9.0;connexion 3G
20099899;55378311;23028498;23/02/2012;20:15:27;10.0;10.0;connexion 3G
20099899;55378311;23028498;23/02/2012;14:15:27;556.0;556.0;connexion 3G
20099899;55378311;23028498;23/02/2012;12:13:38;48.0;48.0;connexion 3G
20099899;55378311;23028498;23/02/2012;06:13:38;70.0;70.0;connexion 3G
20099899;55378311;23028498;23/02/2012;00:13:38;9.0;9.0;connexion 3G
20099899;55378311;23028498;22/02/2012;18:13:38;8.0;8.0;connexion 3G
20099899;55378311;23028498;22/02/2012;18:10:09;12.0;12.0;connexion 3G
20099899;55378311;23028498;22/02/2012;18:08:57;6.0;6.0;connexion 3G/3G+
20099899;55378311;23028498;22/02/2012;17:52:26;4.0;4.0;connexion 3G
20099899;55378311;23028498;22/02/2012;17:48:14;19.0;19.0;connexion 3G
20099899;55378311;23028498;22/02/2012;17:07:18;36.0;36.0;connexion 3G
20099899;55378311;23028498;22/02/2012;17:07:17;8.0;8.0;connexion 3G
20099899;55378311;23028498;22/02/2012;17:07:13;644.0;644.0;connexion 3G
20099899;55378311;23028498;22/02/2012;16:34:51;2.0;2.0;connexion 3G
20099899;55378311;23028498;22/02/2012;14:31:20;49.0;49.0;connexion 3G
20099899;55378311;23028498;22/02/2012;13:56:13;;;envoi de sms depuis le mobile
20099899;55378311;23028498;22/02/2012;13:39:52;00:00:02;00:00:02;appel vers SFR
20099899;55378311;23028498;22/02/2012;13:39:06;;;envoi de sms depuis le mobile
20099899;55378311;23028498;22/02/2012;13:38:53;;;envoi de sms depuis le mobile
20099899;55378311;23028498;22/02/2012;11:59:31;3.0;3.0;connexion 3G
20099899;55378311;23028498;22/02/2012;11:18:39;;;envoi de sms depuis le mobile
20099899;55378311;23028498;22/02/2012;08:29:32;2.0;2.0;connexion 3G
20099899;55378311;23028498;22/02/2012;08:28:03;2.0;2.0;connexion 3G
20099899;55378311;23028498;22/02/2012;08:23:50;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;22/02/2012;08:03:50;1.0;1.0;connexion 3G
20099899;55378311;23028498;22/02/2012;02:23:04;3.0;3.0;connexion 3G
20099899;55378311;23028498;21/02/2012;20:27:22;00:02:40;00:02:40;appel émis vers GSM Suisse
20099899;55378311;23028498;21/02/2012;20:26:05;00:00:57;00:00:57;appel émis vers GSM Suisse
20099899;55378311;23028498;21/02/2012;20:23:04;590.0;590.0;connexion 3G
20099899;55378311;23028498;21/02/2012;20:23:01;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;21/02/2012;19:53:15;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;21/02/2012;19:38:47;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;21/02/2012;19:38:15;00:00:26;00:00:26;appel vers SFR
20099899;55378311;23028498;21/02/2012;19:03:16;00:00:03;00:00:03;appel vers SFR
20099899;55378311;23028498;21/02/2012;14:19:15;9.0;9.0;connexion 3G
20099899;55378311;23028498;21/02/2012;08:19:15;15.0;15.0;connexion 3G
20099899;55378311;23028498;21/02/2012;08:04:31;2.0;2.0;connexion 3G
20099899;55378311;23028498;21/02/2012;07:55:36;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;21/02/2012;07:33:30;1.0;1.0;connexion 3G
20099899;55378311;23028498;21/02/2012;01:33:30;3.0;3.0;connexion 3G
20099899;55378311;23028498;20/02/2012;19:33:30;3.0;3.0;connexion 3G
20099899;55378311;23028498;20/02/2012;19:30:30;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;20/02/2012;14:32:54;3.0;3.0;connexion 3G
20099899;55378311;23028498;20/02/2012;08:33:06;15.0;15.0;connexion 3G
20099899;55378311;23028498;20/02/2012;08:32:54;15.0;15.0;connexion 3G
20099899;55378311;23028498;17/02/2012;19:24:44;3.0;3.0;connexion 3G
20099899;55378311;23028498;17/02/2012;19:23:37;17.0;17.0;connexion 3G
20099899;55378311;23028498;17/02/2012;19:22:57;12.0;12.0;connexion 3G
20099899;55378311;23028498;17/02/2012;18:26:19;1.0;1.0;connexion 3G
20099899;55378311;23028498;17/02/2012;17:57:39;00:00:30;00:00:30;appel vers SFR
20099899;55378311;23028498;17/02/2012;14:29:03;2.0;2.0;connexion 3G
20099899;55378311;23028498;17/02/2012;11:01:07;00:03:30;00:03:30;appels internes
20099899;55378311;23028498;17/02/2012;10:19:50;00:00:02;00:00:02;appel vers SFR
20099899;55378311;23028498;17/02/2012;08:39:27;00:01:48;00:01:48;appel vers SFR
20099899;55378311;23028498;17/02/2012;08:29:03;5.0;5.0;connexion 3G
20099899;55378311;23028498;17/02/2012;08:12:58;1.0;1.0;connexion 3G
20099899;55378311;23028498;17/02/2012;08:05:43;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;17/02/2012;07:34:03;1.0;1.0;connexion 3G
20099899;55378311;23028498;17/02/2012;01:34:03;3.0;3.0;connexion 3G
20099899;55378311;23028498;16/02/2012;19:34:03;3.0;3.0;connexion 3G
20099899;55378311;23028498;16/02/2012;18:38:33;1.0;1.0;connexion 3G
20099899;55378311;23028498;16/02/2012;18:35:55;1.0;1.0;connexion 3G
20099899;55378311;23028498;16/02/2012;13:42:36;2.0;2.0;connexion 3G
20099899;55378311;23028498;16/02/2012;13:29:48;1.0;1.0;connexion 3G
20099899;55378311;23028498;16/02/2012;12:13:11;2.0;2.0;connexion 3G
20099899;55378311;23028498;16/02/2012;12:12:43;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;16/02/2012;12:12:13;00:00:23;00:00:23;appel vers SFR
20099899;55378311;23028498;16/02/2012;11:58:58;00:00:02;00:00:02;appel vers SFR
20099899;55378311;23028498;16/02/2012;08:50:33;55.0;55.0;connexion 3G
20099899;55378311;23028498;14/02/2012;18:45:34;3.0;3.0;connexion 3G
20099899;55378311;23028498;14/02/2012;16:04:34;2.0;2.0;connexion 3G
20099899;55378311;23028498;14/02/2012;10:14:35;7.0;7.0;connexion 3G
20099899;55378311;23028498;14/02/2012;10:04:34;101.0;101.0;connexion 3G
20099899;55378311;23028498;13/02/2012;23:01:04;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;22:46:03;00:01:25;00:01:25;appel vers SFR
20099899;55378311;23028498;13/02/2012;22:45:01;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;22:32:07;00:01:32;00:01:32;appel vers SFR
20099899;55378311;23028498;13/02/2012;22:28:13;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;22:25:26;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;22:10:41;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;21:55:52;1.0;1.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;21:42:05;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;21:40:27;00:01:31;00:01:31;appel vers SFR
20099899;55378311;23028498;13/02/2012;21:35:47;7.0;7.0;connexion 3G
20099899;55378311;23028498;13/02/2012;21:29:31;88.0;88.0;connexion 3G
20099899;55378311;23028498;13/02/2012;21:28:54;7.0;7.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;21:28:07;11.0;11.0;connexion 3G
20099899;55378311;23028498;13/02/2012;21:26:44;13.0;13.0;connexion 3G
20099899;55378311;23028498;13/02/2012;21:26:27;10.0;10.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;20:17:53;00:00:05;00:00:05;appel émis depuis la métropole vers fixe
20099899;55378311;23028498;13/02/2012;20:14:49;00:02:23;00:02:23;appel vers SFR
20099899;55378311;23028498;13/02/2012;20:07:55;131.0;131.0;connexion 3G
20099899;55378311;23028498;13/02/2012;19:59:02;2.0;2.0;connexion 3G
20099899;55378311;23028498;13/02/2012;19:47:53;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;19:35:03;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;19:30:32;00:04:24;00:04:24;appel vers SFR
20099899;55378311;23028498;13/02/2012;19:14:54;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;19:00:42;2.0;2.0;connexion 3G/3G+
20099899;55378311;23028498;13/02/2012;18:57:00;00:03:34;00:03:34;appel vers SFR
20099899;55378311;23028498;13/02/2012;18:42:20;1.0;1.0;connexion 3G
20099899;55378311;23028498;13/02/2012;18:32:19;00:03:30;00:03:30;appel vers SFR
20099899;55378311;23028498;13/02/2012;15:37:22;00:00:04;00:00:04;appel vers SFR
20099899;55378311;23028498;13/02/2012;15:05:07;13.0;13.0;connexion 3G
20099899;55378311;23028498;13/02/2012;13:21:23;00:09:40;00:09:40;appel vers SFR
20099899;55378311;23028498;13/02/2012;13:20:46;00:00:22;00:00:22;appel vers SFR
20099899;55378311;23028498;13/02/2012;10:52:42;00:00:04;00:00:04;appel vers SFR
20099899;55378311;23028498;13/02/2012;09:05:07;15.0;15.0;connexion 3G
20099899;55378311;23028498;12/02/2012;22:06:55;7.0;30.0;connexions data depuis l'étranger/les DOM
20099899;55378311;23028498;12/02/2012;22:06:46;00:00:03;00:00:03;renvoi appel depuis GSM Suisse
20099899;55378311;23028498;12/02/2012;21:57:12;14.0;30.0;connexions data depuis l'étranger/les DOM
20099899;55378311;23028498;12/02/2012;20:33:58;3.0;30.0;connexions data depuis l'étranger/les DOM
